,fecha,rol,sexo,edad,id,n_victimas,hora,t_calle,calle,direccion,comuna,longitud,latitud,participantes,victima,acusado
378,2018-08-17,PEATON,MASCULINO,80,2018-0089,1,17:56:00,AVENIDA,PICHINCHA AV.,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS
379,2018-08-18,CONDUCTOR,MASCULINO,27,2018-0090,1,10:34:00,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y PERGAMINO,8,-58.43284809,-34.67051543,MOTO-AUTO,MOTO,AUTO
380,2018-08-19,PASAJERO_ACOMPAÑANTE,FEMENINO,23,2018-0091,1,18:47:00,AUTOPISTA,AUTOPISTA PERITO MORENO,AU PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,AUTO-AUTO,AUTO,AUTO
381,2018-08-20,CONDUCTOR,MASCULINO,23,2018-0092,1,08:20:00,AVENIDA,CORDOBA AV.,CORDOBA AV. y GASCON,14,-58.42336930,-34.59774487,MOTO-AUTO,MOTO,AUTO
382,2018-08-20,PEATON,MASCULINO,24,2018-0093,1,08:41:00,CALLE,15 DE NOVIEMBRE DE 1889,15 DE NOVIEMBRE DE 1889 1513,1,-58.38691681,-34.63105973,PEATON-PASAJEROS,PEATON,PASAJEROS
383,2018-08-23,CONDUCTOR,MASCULINO,32,2018-0094,1,05:35:00,CALLE,"SALGUERO, JERONIMO","SALGUERO, JERONIMO y BERUTI",14,-58.41169020,-34.58579880,MOTO-PASAJEROS,MOTO,PASAJEROS
384,2018-08-26,PASAJERO_ACOMPAÑANTE,FEMENINO,49,2018-0095,1,00:59:00,AVENIDA,LACARRA AV.,"LACARRA AV. y DELLEPIANE, LUIS, TTE. GRAL.",9,-58.46739825,-34.65117757,AUTO-AUTO,AUTO,AUTO
385,2018-08-31,PEATON,MASCULINO,39,2018-0096,1,22:20:00,AUTOPISTA,AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,"AU PRESIDENTE HÃ‰CTOR J. CÃMPORA y ROCA, CNEL. AV.",8,-58.44483258,-34.67152226,PEATON-AUTO,PEATON,AUTO
386,2018-09-02,CONDUCTOR,FEMENINO,35,2018-0097,1,10:50:00,AVENIDA,VARELA AV.,"VARELA AV. y RABANAL, FRANCISCO, INTENDENTE AV.",8,-58.43254025,-34.66128115,AUTO-MOVIL,AUTO,OTRO
387,2018-09-09,CONDUCTOR,MASCULINO,55,2018-0098,2,05:00:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y BERON DE ASTRADA",8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO
388,2018-09-09,PASAJERO_ACOMPAÑANTE,MASCULINO,54,2018-0098,2,05:00:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y BERON DE ASTRADA",8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO
